age,gender,height_cm,current_weight,goal_weight,goal_type,activity_level,weeks_to_goal
45,Male,185,73.9,84.2,General Fitness,Moderate,39.2
40,Female,169,83.4,85.9,General Fitness,Active,8.8
33,Female,174,51.6,38.1,Weight Loss,Sedentary,33.6
17,Female,167,98.0,82.4,Weight Loss,Very Active,31.9
47,Male,159,66.3,71.9,Muscle Gain,Very Active,67.7
32,Female,164,95.8,100.0,Muscle Gain,Moderate,42.7
52,Female,167,77.1,51.7,Weight Loss,Active,78.0
69,Male,165,70.1,49.1,Weight Loss,Sedentary,85.7
35,Female,159,99.0,86.7,General Fitness,Very Active,46.3
63,Male,181,115.0,110.3,Weight Loss,Very Active,13.2
69,Female,149,69.3,56.2,Weight Loss,Sedentary,45.0
21,Male,183,79.5,49.8,Weight Loss,Active,61.4
46,Male,183,99.1,90.0,Weight Loss,Active,25.4
66,Male,163,113.1,100.4,Weight Loss,Sedentary,52.1
36,Female,156,82.5,96.9,General Fitness,Sedentary,50.2
47,Male,177,78.2,50.9,Weight Loss,Very Active,64.3
42,Male,195,79.4,74.5,Weight Loss,Very Active,12.4
21,Male,162,87.4,83.0,Weight Loss,Active,8.0
67,Female,163,95.7,85.9,Weight Loss,Moderate,36.9
33,Female,149,74.4,64.9,Weight Loss,Moderate,27.5
17,Female,166,68.2,64.4,General Fitness,Sedentary,10.3
63,Male,158,70.3,65.3,Weight Loss,Active,14.9
42,Male,185,74.7,61.8,General Fitness,Active,44.3
64,Male,167,89.7,63.5,Weight Loss,Sedentary,72.8
18,Male,179,104.8,115.5,General Fitness,Very Active,33.6
22,Female,173,51.5,61.1,General Fitness,Moderate,35.7
42,Female,148,58.1,52.6,Weight Loss,Active,15.6
62,Male,189,91.9,62.1,Weight Loss,Very Active,81.9
67,Male,158,60.0,57.2,General Fitness,Moderate,11.9
37,Female,160,99.9,93.4,Weight Loss,Active,16.3
69,Male,169,83.8,91.9,Muscle Gain,Active,102.8
70,Female,160,74.0,69.3,General Fitness,Active,22.6
60,Male,194,86.6,90.9,Muscle Gain,Very Active,55.4
34,Male,190,68.7,62.5,General Fitness,Moderate,22.0
56,Male,184,116.9,113.3,Weight Loss,Very Active,9.7
46,Male,156,111.1,120.6,Muscle Gain,Very Active,95.0
39,Male,166,97.9,80.5,Weight Loss,Moderate,52.2
16,Female,166,95.7,68.2,Weight Loss,Active,57.8
61,Male,194,83.2,68.7,Weight Loss,Active,44.1
61,Male,173,110.8,82.5,Weight Loss,Very Active,75.0
32,Male,172,60.6,50.9,Weight Loss,Sedentary,27.6
51,Male,175,109.3,83.4,Weight Loss,Active,64.7
41,Female,148,76.9,79.0,General Fitness,Moderate,8.5
24,Male,194,97.6,93.3,General Fitness,Moderate,13.9
52,Male,175,57.7,46.7,General Fitness,Very Active,44.8
58,Female,167,74.7,78.5,Muscle Gain,Sedentary,45.8
19,Male,187,83.8,95.5,Muscle Gain,Sedentary,89.3
51,Male,178,108.9,87.5,Weight Loss,Active,54.5
33,Male,164,56.6,66.1,General Fitness,Very Active,35.8
45,Female,163,79.2,84.9,Muscle Gain,Active,54.5
52,Male,156,61.9,68.5,Muscle Gain,Moderate,75.3
28,Female,169,90.7,89.2,General Fitness,Active,4.6
19,Female,159,76.1,91.1,General Fitness,Sedentary,49.4
53,Male,185,97.8,106.1,General Fitness,Sedentary,33.8
35,Female,152,83.1,68.1,Weight Loss,Very Active,31.0
43,Female,171,57.6,45.0,General Fitness,Moderate,45.2
53,Male,171,106.7,115.5,Muscle Gain,Moderate,92.3
41,Male,187,118.9,100.3,Weight Loss,Very Active,46.9
15,Male,165,62.9,52.8,Weight Loss,Very Active,22.3
23,Female,147,90.9,89.6,General Fitness,Sedentary,3.9
42,Male,177,63.3,41.5,Weight Loss,Very Active,54.8
22,Male,176,113.3,99.7,General Fitness,Active,45.8
43,Male,181,96.0,73.0,Weight Loss,Active,61.1
52,Male,192,79.0,58.5,Weight Loss,Sedentary,66.5
26,Female,177,84.7,92.4,Muscle Gain,Very Active,66.4
46,Male,176,58.1,41.1,Weight Loss,Active,44.0
42,Male,188,73.1,86.4,General Fitness,Moderate,38.6
31,Male,193,104.0,76.0,Weight Loss,Active,69.2
28,Female,180,91.1,67.7,Weight Loss,Sedentary,53.4
49,Male,189,106.9,105.8,General Fitness,Sedentary,4.0
51,Female,172,85.3,68.2,Weight Loss,Active,47.7
32,Female,152,98.3,73.6,Weight Loss,Moderate,71.8
35,Male,165,88.0,83.1,General Fitness,Sedentary,16.6
21,Female,178,62.5,36.8,Weight Loss,Very Active,53.9
30,Male,163,93.1,79.9,General Fitness,Sedentary,50.8
55,Female,150,97.3,71.2,Weight Loss,Moderate,83.3
19,Male,186,91.3,82.7,Weight Loss,Very Active,17.3
59,Male,171,94.9,74.9,Weight Loss,Very Active,51.7
45,Male,188,97.7,101.2,General Fitness,Active,13.7
35,Female,160,81.4,86.4,Muscle Gain,Very Active,48.5
58,Female,160,46.6,54.2,Muscle Gain,Very Active,77.0
50,Male,175,72.0,80.4,Muscle Gain,Sedentary,98.9
40,Female,161,95.2,102.8,Muscle Gain,Very Active,77.5
64,Male,195,62.2,76.8,General Fitness,Moderate,80.2
61,Male,156,107.2,109.5,General Fitness,Sedentary,10.1
56,Female,148,73.5,67.4,General Fitness,Sedentary,23.8
70,Male,169,73.9,77.2,General Fitness,Very Active,14.4
50,Female,160,96.7,100.3,Muscle Gain,Moderate,43.2
47,Male,180,106.4,108.0,General Fitness,Sedentary,6.3
23,Female,162,92.4,94.5,General Fitness,Very Active,6.1
21,Male,192,106.5,98.3,Weight Loss,Moderate,23.4
39,Male,173,82.9,89.7,Muscle Gain,Very Active,79.7
45,Female,163,94.9,86.4,General Fitness,Active,35.7
61,Female,170,97.3,73.7,Weight Loss,Very Active,64.5
51,Male,156,80.8,87.7,Muscle Gain,Moderate,84.2
28,Male,186,93.6,88.3,Weight Loss,Moderate,15.9
48,Female,159,48.2,56.1,General Fitness,Very Active,32.4
68,Female,154,47.0,57.6,General Fitness,Active,44.3
35,Female,174,84.0,75.8,General Fitness,Moderate,32.0
39,Male,163,104.2,110.0,Muscle Gain,Sedentary,57.5
43,Male,162,57.5,43.0,Weight Loss,Moderate,44.1
23,Male,190,82.2,81.1,General Fitness,Very Active,3.3
48,Male,168,107.2,78.5,Weight Loss,Active,87.1
45,Female,174,56.6,51.0,General Fitness,Active,19.8
15,Male,175,82.1,79.0,General Fitness,Very Active,9.5
27,Male,161,90.0,98.6,Muscle Gain,Moderate,89.1
53,Male,165,59.3,49.4,General Fitness,Very Active,40.1
27,Female,162,60.6,74.4,General Fitness,Sedentary,48.4
21,Male,168,73.2,68.5,General Fitness,Moderate,15.7
36,Male,191,105.2,114.5,General Fitness,Very Active,33.2
15,Female,159,99.4,93.9,Weight Loss,Moderate,15.0
45,Male,155,76.0,48.8,Weight Loss,Moderate,95.0
42,Male,185,76.3,59.8,Weight Loss,Very Active,49.8
39,Male,179,100.9,88.3,Weight Loss,Very Active,32.3
53,Female,158,97.5,111.7,General Fitness,Sedentary,59.4
26,Female,146,92.6,105.6,General Fitness,Active,42.4
38,Male,188,67.7,48.9,Weight Loss,Very Active,46.9
31,Female,177,95.7,76.3,Weight Loss,Active,43.7
56,Male,185,80.9,95.8,General Fitness,Active,62.8
51,Female,146,92.5,106.5,General Fitness,Sedentary,62.3
62,Female,179,89.4,85.4,Weight Loss,Very Active,10.5
60,Male,166,111.6,114.4,General Fitness,Moderate,13.0
55,Male,158,75.4,49.2,Weight Loss,Very Active,79.0
36,Female,165,94.4,86.8,Weight Loss,Sedentary,22.5
57,Female,170,67.9,57.6,General Fitness,Sedentary,35.8
61,Male,172,60.5,45.5,Weight Loss,Moderate,50.5
59,Female,177,67.5,57.6,General Fitness,Moderate,46.3
20,Male,162,114.7,111.1,General Fitness,Very Active,10.6
64,Male,165,106.3,113.0,Muscle Gain,Sedentary,77.3
34,Male,158,79.7,84.7,General Fitness,Moderate,18.6
41,Male,169,109.3,104.5,General Fitness,Active,17.7
59,Female,172,64.1,39.2,Weight Loss,Moderate,80.7
59,Female,177,75.3,52.2,Weight Loss,Active,73.0
31,Female,158,70.7,66.9,Weight Loss,Moderate,10.7
45,Male,163,85.4,90.9,General Fitness,Moderate,23.3
55,Male,177,111.5,114.6,Muscle Gain,Sedentary,39.5
36,Female,151,55.3,64.4,Muscle Gain,Active,98.0
45,Female,160,58.9,65.1,General Fitness,Very Active,24.7
34,Female,147,98.4,85.1,General Fitness,Very Active,47.4
51,Female,170,77.6,83.4,Muscle Gain,Active,59.6
51,Male,163,63.4,72.1,Muscle Gain,Moderate,98.8
65,Male,164,107.1,91.7,Weight Loss,Active,40.5
57,Male,164,68.0,73.9,Muscle Gain,Sedentary,74.4
30,Female,158,69.0,46.4,Weight Loss,Moderate,62.2
15,Male,185,65.4,67.8,General Fitness,Active,7.5
35,Male,163,81.0,89.6,Muscle Gain,Moderate,83.4
53,Female,170,74.4,68.5,General Fitness,Very Active,25.2
64,Male,170,79.0,73.2,General Fitness,Moderate,24.4
23,Female,176,55.3,46.6,Weight Loss,Moderate,25.2
39,Female,156,68.4,57.7,Weight Loss,Active,23.4
17,Female,161,97.7,90.8,General Fitness,Very Active,21.7
44,Female,150,64.0,75.3,General Fitness,Sedentary,50.1
23,Male,191,88.0,66.5,Weight Loss,Active,42.8
42,Male,158,74.7,82.1,Muscle Gain,Very Active,72.9
47,Male,178,105.8,116.8,General Fitness,Very Active,44.9
49,Male,179,111.6,106.4,Weight Loss,Very Active,13.8
53,Female,168,58.9,67.6,Muscle Gain,Sedentary,102.6
26,Female,163,64.6,61.1,Weight Loss,Active,8.5
53,Female,152,64.6,68.2,Muscle Gain,Sedentary,41.7
37,Female,174,82.9,90.0,Muscle Gain,Active,70.0
61,Male,160,109.4,94.7,Weight Loss,Active,48.0
34,Male,194,88.4,62.3,Weight Loss,Active,60.9
38,Male,191,85.7,97.4,General Fitness,Sedentary,39.7
32,Female,177,81.9,72.4,General Fitness,Moderate,36.4
41,Female,158,46.0,56.0,Muscle Gain,Sedentary,102.4
16,Male,175,69.4,49.9,Weight Loss,Moderate,53.1
55,Female,166,74.8,67.1,General Fitness,Very Active,30.5
58,Female,169,59.1,55.2,Weight Loss,Moderate,13.9
50,Male,177,60.4,71.9,General Fitness,Very Active,46.7
51,Male,182,82.0,93.7,General Fitness,Active,45.5
49,Female,153,65.8,37.2,Weight Loss,Very Active,78.1
28,Male,168,119.5,101.1,Weight Loss,Very Active,40.6
50,Male,181,77.9,69.0,Weight Loss,Very Active,24.9
29,Female,170,72.2,79.7,General Fitness,Very Active,23.9
33,Male,155,89.6,77.6,Weight Loss,Very Active,30.5
58,Female,151,66.1,76.2,General Fitness,Moderate,40.7
16,Male,175,94.6,97.9,General Fitness,Very Active,10.9
38,Male,170,66.4,38.1,Weight Loss,Very Active,78.8
33,Male,159,113.1,119.6,Muscle Gain,Moderate,62.3
66,Female,166,93.0,79.3,General Fitness,Sedentary,60.6
15,Female,147,82.5,89.2,General Fitness,Sedentary,20.0
69,Male,171,104.3,85.6,Weight Loss,Moderate,63.7
38,Male,181,97.7,94.7,General Fitness,Moderate,10.1
21,Female,166,80.3,75.3,Weight Loss,Active,11.5
36,Female,163,82.9,71.0,Weight Loss,Active,32.4
51,Female,162,77.7,66.0,General Fitness,Active,46.7
38,Female,168,84.3,73.0,Weight Loss,Moderate,33.8
45,Male,183,98.8,95.6,General Fitness,Active,12.4
69,Male,179,71.7,67.5,General Fitness,Active,20.7
31,Female,168,84.7,61.6,Weight Loss,Sedentary,61.6
57,Female,149,63.8,72.1,Muscle Gain,Sedentary,99.4
53,Male,162,97.2,84.6,Weight Loss,Active,34.4
68,Female,178,94.4,105.8,General Fitness,Sedentary,55.2
36,Male,187,59.4,71.8,Muscle Gain,Sedentary,96.9
51,Male,188,71.1,61.2,Weight Loss,Very Active,27.7
29,Male,184,66.5,81.2,General Fitness,Moderate,47.9
61,Female,149,94.8,88.2,Weight Loss,Moderate,20.0
29,Female,160,77.2,58.5,Weight Loss,Moderate,55.2
35,Female,149,55.8,49.7,Weight Loss,Sedentary,20.1
52,Female,172,92.4,95.0,General Fitness,Sedentary,11.3
15,Male,171,104.0,113.4,General Fitness,Very Active,32.5
47,Male,173,116.8,124.9,Muscle Gain,Very Active,96.5
15,Male,175,113.1,96.3,Weight Loss,Very Active,36.0
19,Female,172,82.0,76.4,Weight Loss,Moderate,14.7
27,Female,151,87.0,93.6,Muscle Gain,Moderate,53.6
21,Female,164,96.0,102.6,Muscle Gain,Very Active,57.4
45,Female,164,65.4,54.1,Weight Loss,Active,28.4
43,Female,164,68.4,74.9,General Fitness,Active,25.0
41,Male,177,97.0,102.4,Muscle Gain,Sedentary,58.3
35,Female,172,88.5,97.0,Muscle Gain,Sedentary,95.6
69,Male,172,61.9,52.3,Weight Loss,Very Active,27.1
61,Female,175,97.4,111.7,General Fitness,Very Active,62.4
53,Female,169,48.3,43.8,Weight Loss,Active,11.4
43,Female,163,51.1,56.4,Muscle Gain,Active,49.7
43,Male,170,76.3,85.0,General Fitness,Sedentary,33.1
23,Female,149,92.9,103.7,General Fitness,Sedentary,34.2
26,Female,165,70.8,81.6,Muscle Gain,Moderate,94.3
66,Female,148,90.7,94.7,Muscle Gain,Very Active,43.2
17,Female,177,93.0,81.2,Weight Loss,Very Active,24.1
66,Male,187,110.0,112.2,General Fitness,Moderate,10.3
67,Male,172,85.3,58.3,Weight Loss,Very Active,79.9
19,Male,166,97.1,102.9,General Fitness,Active,16.3
15,Male,194,108.8,112.1,Muscle Gain,Active,27.1
56,Female,157,87.3,96.3,General Fitness,Very Active,38.4
28,Male,174,66.8,63.1,Weight Loss,Moderate,11.5
19,Male,175,111.6,83.5,Weight Loss,Active,50.0
25,Male,182,119.4,110.1,Weight Loss,Active,20.6
22,Male,186,103.1,90.4,Weight Loss,Moderate,32.0
28,Female,150,89.0,98.1,Muscle Gain,Moderate,83.2
44,Female,146,45.4,57.6,General Fitness,Sedentary,43.9
56,Female,169,93.2,89.8,Weight Loss,Sedentary,11.7
17,Female,154,91.6,88.1,General Fitness,Active,12.6
23,Male,185,104.5,102.6,General Fitness,Moderate,6.2
67,Female,155,68.1,74.1,Muscle Gain,Very Active,69.3
38,Male,162,106.1,104.7,General Fitness,Moderate,4.5
68,Female,161,79.2,82.7,Muscle Gain,Active,36.9
45,Male,157,102.8,108.3,Muscle Gain,Sedentary,51.1
63,Female,178,54.3,48.6,Weight Loss,Very Active,16.7
41,Female,149,51.2,35.4,Weight Loss,Sedentary,51.0
23,Female,145,62.1,69.7,General Fitness,Very Active,21.8
47,Male,163,107.4,100.5,Weight Loss,Moderate,21.5
60,Male,180,73.3,63.7,General Fitness,Sedentary,41.4
42,Female,168,81.4,62.8,Weight Loss,Active,49.8
55,Male,158,106.6,91.9,General Fitness,Very Active,59.5
68,Male,170,65.5,71.0,General Fitness,Sedentary,22.9
55,Female,170,69.9,76.6,Muscle Gain,Moderate,63.0
22,Female,162,81.1,89.3,General Fitness,Very Active,25.1
36,Female,176,87.5,72.2,Weight Loss,Active,36.0
63,Male,188,72.1,84.0,General Fitness,Active,47.6
21,Male,169,118.4,105.8,General Fitness,Moderate,40.2
34,Female,173,69.0,39.4,Weight Loss,Active,70.2
40,Male,187,67.7,54.9,General Fitness,Moderate,46.9
48,Male,193,105.7,87.5,Weight Loss,Active,44.9
49,Male,169,100.1,85.1,General Fitness,Active,60.4
58,Female,155,79.9,53.7,Weight Loss,Sedentary,94.3
49,Male,194,82.6,78.8,General Fitness,Moderate,13.8
15,Male,159,71.3,80.1,General Fitness,Active,26.8
18,Male,181,64.1,56.4,General Fitness,Sedentary,24.3
56,Male,181,80.4,86.7,Muscle Gain,Moderate,76.2
32,Female,153,94.1,87.8,Weight Loss,Moderate,18.6
24,Male,172,104.4,101.1,Weight Loss,Very Active,7.8
48,Male,161,105.2,95.8,General Fitness,Active,38.0
63,Male,173,69.6,72.0,General Fitness,Very Active,9.5
68,Male,182,82.4,92.3,General Fitness,Very Active,44.7
41,Female,161,99.1,103.5,Muscle Gain,Active,45.4
30,Male,192,87.2,96.5,General Fitness,Very Active,31.7
50,Male,193,109.4,115.7,General Fitness,Very Active,24.9
52,Male,161,92.4,89.8,General Fitness,Sedentary,9.0
67,Female,170,84.5,86.1,General Fitness,Very Active,6.8
40,Female,172,81.8,80.4,General Fitness,Sedentary,5.3
21,Male,173,114.8,127.0,General Fitness,Active,39.9
63,Female,167,88.0,91.4,General Fitness,Very Active,13.8
21,Male,160,96.6,104.9,Muscle Gain,Active,76.2
63,Female,169,56.1,69.1,General Fitness,Moderate,53.6
38,Female,155,97.8,106.3,Muscle Gain,Very Active,98.2
47,Male,190,74.3,56.2,Weight Loss,Active,42.4
54,Female,150,62.8,53.7,Weight Loss,Active,23.3
57,Male,172,56.7,47.6,Weight Loss,Moderate,34.9
43,Male,168,64.4,53.4,Weight Loss,Moderate,33.9
68,Male,183,81.9,73.2,General Fitness,Very Active,39.9
55,Female,169,86.1,64.0,Weight Loss,Very Active,61.5
19,Female,153,62.7,50.1,General Fitness,Active,42.6
49,Male,175,61.8,36.5,Weight Loss,Very Active,70.6
60,Male,190,108.4,112.5,General Fitness,Active,15.0
50,Male,158,113.2,97.3,Weight Loss,Very Active,36.4
19,Male,172,92.0,63.4,Weight Loss,Active,64.8
42,Male,163,119.1,123.1,General Fitness,Very Active,16.5
36,Female,159,76.3,89.6,General Fitness,Active,44.0
70,Male,155,118.1,119.8,General Fitness,Active,7.5
48,Male,181,102.5,79.7,Weight Loss,Sedentary,67.7
68,Male,166,56.9,42.9,General Fitness,Moderate,61.6
40,Female,169,89.3,76.0,Weight Loss,Sedentary,40.0
26,Female,151,62.1,54.3,Weight Loss,Active,18.4
20,Female,156,59.3,65.7,Muscle Gain,Very Active,62.2
36,Female,173,86.3,78.0,General Fitness,Sedentary,33.5
58,Male,178,61.2,60.2,General Fitness,Sedentary,4.0
27,Female,176,55.0,46.1,Weight Loss,Moderate,21.5
53,Female,168,76.6,49.5,Weight Loss,Moderate,85.3
67,Male,183,57.0,55.5,General Fitness,Moderate,7.2
37,Female,156,77.5,83.3,Muscle Gain,Sedentary,65.8
65,Female,173,96.9,86.5,General Fitness,Very Active,43.6
24,Female,160,97.8,81.5,Weight Loss,Active,35.5
18,Female,175,89.6,62.0,Weight Loss,Active,58.6
57,Male,175,114.3,123.2,General Fitness,Sedentary,34.8
23,Male,183,104.6,112.6,Muscle Gain,Active,74.6
54,Female,169,61.8,76.7,General Fitness,Very Active,61.1
27,Male,160,75.0,65.8,General Fitness,Sedentary,32.5
49,Female,146,47.6,42.4,General Fitness,Sedentary,20.7
67,Female,172,85.6,77.3,General Fitness,Sedentary,35.7
28,Female,151,70.1,66.5,General Fitness,Sedentary,12.2
46,Female,158,76.4,56.8,Weight Loss,Moderate,62.5
59,Male,162,115.1,118.2,Muscle Gain,Moderate,35.1
26,Male,179,108.7,114.9,General Fitness,Active,20.4
53,Male,170,95.4,85.4,Weight Loss,Moderate,38.0
28,Female,162,67.5,68.6,General Fitness,Active,3.9
67,Female,176,58.9,62.1,Muscle Gain,Moderate,38.3
23,Female,159,48.9,42.8,Weight Loss,Very Active,13.9
33,Female,179,60.8,73.8,General Fitness,Very Active,50.4
67,Male,167,116.8,98.8,Weight Loss,Very Active,54.5
48,Female,147,70.8,64.8,Weight Loss,Moderate,19.4
26,Male,160,104.6,79.8,Weight Loss,Very Active,57.0
17,Male,191,55.9,48.8,Weight Loss,Active,13.3
44,Female,157,94.6,90.1,Weight Loss,Active,10.3
47,Female,149,57.4,37.5,Weight Loss,Active,52.1
16,Female,173,48.8,53.2,General Fitness,Very Active,15.5
18,Male,162,99.5,85.4,Weight Loss,Active,34.5
61,Male,175,79.1,76.1,General Fitness,Moderate,13.5
15,Male,191,58.8,45.3,Weight Loss,Very Active,28.4
51,Male,189,59.8,39.3,Weight Loss,Sedentary,58.3
33,Female,169,69.7,81.2,General Fitness,Very Active,39.0
55,Male,166,117.6,104.1,Weight Loss,Active,35.0
62,Female,146,68.7,57.6,Weight Loss,Active,31.2
28,Male,180,82.4,89.2,General Fitness,Active,19.5
60,Male,167,91.9,63.3,Weight Loss,Moderate,92.0
38,Female,164,56.7,62.1,Muscle Gain,Very Active,55.7
34,Male,194,81.8,85.6,General Fitness,Very Active,15.8
48,Male,182,66.7,59.5,General Fitness,Very Active,26.3
32,Female,154,80.3,71.2,General Fitness,Moderate,25.5
44,Male,170,111.4,116.6,Muscle Gain,Active,53.7
58,Female,151,88.3,92.8,Muscle Gain,Sedentary,56.7
69,Male,160,75.4,48.1,Weight Loss,Active,93.9
28,Male,174,109.6,115.7,General Fitness,Moderate,18.8
60,Female,156,60.9,65.6,Muscle Gain,Active,57.3
41,Male,162,89.6,69.9,Weight Loss,Moderate,58.8
59,Male,172,99.8,86.1,General Fitness,Very Active,57.6
65,Female,157,97.9,86.2,Weight Loss,Sedentary,46.2
16,Male,194,112.9,123.0,Muscle Gain,Very Active,86.6
27,Male,185,79.7,83.3,Muscle Gain,Very Active,32.6
36,Female,168,89.2,102.2,General Fitness,Very Active,49.5
23,Female,167,84.6,93.3,General Fitness,Active,27.7
66,Male,161,70.8,63.0,Weight Loss,Moderate,28.4
64,Male,160,111.1,107.8,Weight Loss,Moderate,13.0
70,Male,194,59.6,68.8,General Fitness,Active,41.5
54,Female,152,48.1,45.2,General Fitness,Sedentary,10.2
15,Male,182,106.5,97.2,Weight Loss,Sedentary,25.9
39,Male,175,95.7,92.0,General Fitness,Sedentary,12.7
45,Female,163,85.2,75.9,General Fitness,Moderate,34.1
20,Female,156,98.6,88.5,Weight Loss,Sedentary,25.4
59,Male,159,67.2,54.3,General Fitness,Sedentary,60.7
53,Male,181,87.9,95.8,Muscle Gain,Active,73.5
19,Female,148,48.5,57.4,Muscle Gain,Moderate,84.2
20,Male,183,55.8,44.4,General Fitness,Very Active,37.1
59,Female,149,76.3,87.5,General Fitness,Active,47.3
17,Male,177,81.6,54.8,Weight Loss,Moderate,71.9
70,Female,174,69.9,75.3,Muscle Gain,Very Active,70.8
28,Male,161,56.1,40.3,Weight Loss,Moderate,43.8
16,Female,176,66.6,74.8,Muscle Gain,Moderate,68.9
46,Female,176,68.8,40.2,Weight Loss,Moderate,90.4
37,Male,161,59.3,67.8,Muscle Gain,Sedentary,93.1
24,Female,160,73.5,65.6,General Fitness,Active,27.4
34,Female,155,63.6,71.9,Muscle Gain,Sedentary,62.4
53,Female,153,74.1,79.9,General Fitness,Sedentary,24.9
19,Male,156,84.1,94.2,Muscle Gain,Very Active,89.5
60,Female,160,89.7,94.2,General Fitness,Moderate,20.9
39,Male,164,95.5,99.9,Muscle Gain,Sedentary,48.3
19,Female,173,66.4,72.7,Muscle Gain,Active,51.6
38,Female,148,71.1,67.0,General Fitness,Moderate,15.6
59,Male,155,74.4,80.9,Muscle Gain,Very Active,81.0
35,Male,156,63.1,76.2,General Fitness,Moderate,49.9
68,Female,169,75.3,55.3,Weight Loss,Active,61.6
35,Female,147,80.4,88.9,Muscle Gain,Moderate,79.8
61,Male,163,87.3,73.3,General Fitness,Sedentary,62.2
60,Male,170,61.0,48.3,Weight Loss,Moderate,47.6
56,Male,180,100.1,91.4,General Fitness,Very Active,39.6
22,Male,171,69.8,73.8,Muscle Gain,Moderate,37.8
35,Male,179,104.1,83.0,Weight Loss,Active,51.5
46,Male,156,98.5,87.7,General Fitness,Active,45.6
28,Male,169,92.9,89.7,Weight Loss,Sedentary,9.0
47,Male,165,80.8,77.7,General Fitness,Active,11.3
47,Female,169,53.8,60.2,Muscle Gain,Active,68.1
53,Female,177,87.4,78.9,Weight Loss,Very Active,21.7
66,Male,161,103.3,76.7,Weight Loss,Very Active,76.8
68,Male,168,112.6,125.1,General Fitness,Active,52.4
51,Female,161,56.9,53.3,Weight Loss,Moderate,11.7
70,Male,176,68.4,39.8,Weight Loss,Moderate,90.8
44,Female,170,78.1,81.4,General Fitness,Active,12.9
65,Female,160,49.3,46.8,General Fitness,Active,11.0
69,Male,155,116.5,130.5,General Fitness,Sedentary,59.0
19,Female,162,68.0,66.7,General Fitness,Active,4.4
45,Male,166,55.9,50.6,Weight Loss,Sedentary,15.9
32,Male,156,100.7,111.9,Muscle Gain,Active,101.7
40,Male,179,56.9,40.5,Weight Loss,Sedentary,46.7
61,Female,175,56.1,60.8,General Fitness,Active,19.9
66,Male,155,119.7,115.5,Weight Loss,Very Active,12.0
65,Female,159,84.4,95.8,General Fitness,Very Active,42.1
44,Female,175,75.0,61.9,Weight Loss,Active,34.9
35,Female,167,67.4,76.5,General Fitness,Moderate,29.5
24,Female,176,82.2,92.1,Muscle Gain,Active,90.5
23,Female,166,95.9,75.5,Weight Loss,Active,45.1
17,Female,166,72.8,59.8,General Fitness,Moderate,45.0
69,Female,153,98.7,110.8,General Fitness,Moderate,48.8
47,Male,189,57.7,62.5,Muscle Gain,Sedentary,39.2
61,Female,168,75.2,61.5,Weight Loss,Active,44.4
62,Female,171,82.8,53.1,Weight Loss,Active,93.1
24,Male,167,101.6,88.1,General Fitness,Very Active,45.4
59,Female,164,58.3,44.3,Weight Loss,Sedentary,47.0
67,Male,167,56.5,55.1,General Fitness,Sedentary,6.6
19,Male,171,84.4,78.2,Weight Loss,Sedentary,15.0
15,Female,164,63.9,70.1,General Fitness,Very Active,19.7
55,Female,147,82.4,97.1,General Fitness,Very Active,63.2
31,Female,175,92.4,101.9,Muscle Gain,Sedentary,99.0
31,Female,179,50.1,40.5,Weight Loss,Very Active,22.8
52,Male,156,115.8,108.6,General Fitness,Moderate,25.1
66,Female,179,81.0,84.8,Muscle Gain,Very Active,43.7
26,Male,183,74.1,77.4,General Fitness,Very Active,10.7
58,Female,154,98.3,102.6,Muscle Gain,Sedentary,47.7
66,Female,152,50.6,43.8,Weight Loss,Very Active,21.6
41,Female,175,46.8,53.9,General Fitness,Sedentary,26.7
31,Male,177,85.9,69.2,Weight Loss,Sedentary,46.9
16,Male,165,60.6,52.6,Weight Loss,Sedentary,20.7
22,Male,190,57.6,61.4,General Fitness,Very Active,11.5
15,Male,178,58.9,46.9,General Fitness,Very Active,34.9
34,Female,153,62.6,67.0,General Fitness,Sedentary,15.3
45,Male,185,68.9,61.2,Weight Loss,Very Active,17.5
69,Male,187,64.5,41.0,Weight Loss,Moderate,81.6
51,Female,155,58.6,70.1,General Fitness,Sedentary,44.5
18,Male,182,57.8,66.2,Muscle Gain,Very Active,77.8
57,Female,168,66.5,47.1,Weight Loss,Moderate,68.4
45,Male,194,116.7,124.8,General Fitness,Moderate,31.8
46,Male,159,83.1,79.3,Weight Loss,Active,10.4
60,Male,164,105.2,106.8,General Fitness,Sedentary,6.8
32,Male,173,93.6,100.5,Muscle Gain,Active,63.7
37,Female,164,55.6,43.6,Weight Loss,Moderate,29.1
53,Female,172,81.8,88.0,Muscle Gain,Active,68.8
27,Male,178,101.3,92.6,General Fitness,Active,32.8
22,Female,163,80.1,84.0,General Fitness,Moderate,13.6
38,Male,170,80.5,91.5,General Fitness,Very Active,43.6
27,Female,161,96.0,80.7,Weight Loss,Sedentary,47.0
27,Female,162,47.8,54.8,General Fitness,Very Active,23.9
39,Male,175,62.8,68.9,Muscle Gain,Very Active,63.2
69,Female,149,60.3,42.5,Weight Loss,Sedentary,62.9
36,Male,194,101.8,91.1,Weight Loss,Sedentary,31.2
54,Male,193,92.1,81.9,Weight Loss,Moderate,36.3
16,Female,180,77.1,53.5,Weight Loss,Moderate,66.0
49,Male,194,56.1,61.8,Muscle Gain,Moderate,61.6
21,Female,160,91.5,98.3,Muscle Gain,Sedentary,58.2
26,Female,159,60.4,61.4,General Fitness,Moderate,3.4
43,Female,158,57.8,70.7,General Fitness,Very Active,51.6
